customer_unique_id,order_purchase_timestamp,recency,frequency,monetary
a813e96,2018-07-01 20:54:21,63,1,2031.09
dc184f1,2018-02-22 20:53:14,192,1,222.68
a1fdca0,2018-08-24 19:01:02,9,1,87.58
1acfddc,2018-08-11 20:58:44,22,1,264.22
903da68,2018-02-25 14:13:44,189,1,368.11
286cb34,2018-07-11 17:22:56,53,1,96.47
0bc50d5,2018-07-31 16:16:19,33,1,221.28
33b141e,2017-10-11 17:31:49,326,2,221.98
ee3575d,2018-05-09 17:11:41,116,1,283.54
ae33f41,2017-11-25 16:23:49,281,1,44.37
4b154e0,2018-07-24 12:45:26,40,1,161.01
71f9341,2017-05-08 12:22:44,482,1,139.17
ecf3b5c,2018-03-29 22:46:19,157,1,117.74
98af323,2018-04-22 14:26:17,133,1,125.33
addbdb6,2018-07-22 06:24:50,43,1,201.42
6f90f04,2018-08-14 17:48:09,19,1,30.79
c63f1bf,2017-12-19 13:02:13,257,1,190.48
9fdda3b,2017-10-25 13:32:46,312,1,33.77
f2eb5bf,2017-07-31 19:05:32,398,1,55.620000000000005
01593b8,2018-07-06 18:16:06,58,1,44.87
4509c8f,2017-10-24 14:23:58,313,1,383.98
963b5a6,2018-06-12 20:54:25,82,1,83.22
9eeaf54,2017-11-09 21:08:01,297,1,97.87
3b9e293,2017-02-23 08:03:00,557,1,109.26
9949e00,2017-06-17 13:16:44,442,1,104.37
399a778,2017-05-29 12:35:44,461,1,205.57
081e0e6,2018-05-24 12:16:48,101,1,137.38
cc320e0,2018-06-03 21:08:31,91,1,104.08
c59ba65,2018-06-08 20:06:48,86,1,320.18
bc7fad0,2018-05-14 17:56:57,111,1,222.7
61b2623,2018-01-29 13:38:02,216,1,94.3
cabd6d0,2017-11-24 01:34:00,283,1,79.2
12cc890,2016-10-05 07:31:49,698,1,95.58
06b672c,2018-03-07 16:27:30,179,1,128.55
59f72bd,2017-03-22 17:25:28,529,1,148.76
a6e10bb,2017-11-06 18:20:00,300,1,138.48
367f468,2017-05-19 18:13:54,471,2,205.5
e3989ce,2017-12-16 13:51:18,260,1,72.68
b1d5420,2018-04-18 13:13:47,137,1,32.13
9b390e9,2018-03-29 20:53:48,157,1,150.21
0bd4d26,2018-06-23 19:24:21,71,1,112.77
8e189d0,2018-08-06 09:12:33,27,1,180.32
99295d2,2017-06-02 14:00:19,457,1,171.84
766c363,2017-11-06 16:24:03,300,1,43.78
c56d066,2018-06-27 11:10:11,67,1,87.58
a577a79,2017-04-14 22:06:32,506,1,100.91
059ba84,2018-03-26 11:02:31,160,1,205.26
8941047,2017-12-04 18:26:12,272,1,82.59
a65b623,2018-06-13 22:54:20,81,1,52.92
9aa5b03,2018-02-02 15:26:38,212,1,188.94
1d15f7e,2017-08-10 19:47:29,388,1,77.66
430205a,2017-09-05 18:24:22,362,1,195.92
720d85b,2017-12-07 20:38:37,269,1,100.34
95cfb39,2017-11-19 16:12:34,287,2,122.05000000000001
a39fd85,2017-12-08 23:41:49,268,1,499.4
9676b88,2017-05-10 14:03:27,480,1,301.3
8a024c6,2017-11-30 13:34:43,276,1,145.5
a0f1a37,2018-03-19 21:50:14,167,1,55.04
a176838,2018-03-04 15:58:09,182,2,461.08
0f524b9,2018-07-02 13:58:59,62,1,306.16
1e7097b,2017-04-06 13:44:08,514,1,2751.24
5c00e84,2018-08-12 12:04:03,21,2,135.7
f329e0e,2017-07-16 10:04:36,413,1,102.03
5936fab,2018-07-28 20:07:49,36,2,206.13
b8baa48,2017-10-18 16:44:45,319,1,355.77
a0c241d,2017-08-28 22:47:13,370,1,138.03
e58a978,2017-12-21 20:11:07,255,1,212.88
e63d1b8,2017-11-27 13:33:35,279,1,65.71
d9e8548,2018-07-22 13:04:47,42,1,32.7
1f7d9af,2018-05-08 19:48:01,117,1,99.9
178517e,2017-11-18 11:30:58,288,1,87.21
00dd439,2017-05-11 09:13:17,479,1,109.31
e8e2449,2017-12-27 19:19:44,249,1,133.35
cad2c73,2018-01-09 11:19:49,236,1,49.41
bf087cb,2018-06-23 18:07:30,71,2,358.44
40d306e,2018-07-03 19:34:23,61,1,141.97
e400030,2017-06-08 21:18:45,451,1,71.14
69fbe1e,2017-10-17 18:22:05,320,1,85.52
0eab82e,2017-09-08 13:37:07,359,1,272.8
8ca5776,2017-07-17 09:29:02,412,1,67.6
969cdc8,2018-05-07 20:57:42,118,1,134.66
185dee5,2018-08-01 16:54:38,32,1,63.08
178abca,2018-08-21 10:19:27,12,1,149.85
545d528,2017-04-25 13:35:09,495,1,47.68
aa2511d,2018-05-04 21:40:39,121,1,46.13
b7691a2,2018-03-08 15:59:11,178,1,326.36
8232307,2018-06-11 13:00:02,83,1,200.23
572e9e1,2017-06-13 11:13:38,446,1,86.67
79a4fa8,2017-08-04 21:44:43,394,1,374.15
0680711,2017-10-06 18:22:19,331,1,378.83
db9525f,2018-05-19 12:14:08,106,1,134.71
cab49f7,2017-08-05 19:30:41,393,1,27.98
7fe369a,2017-10-31 09:59:07,306,1,63.98
2e15bb9,2017-09-11 09:40:11,356,1,44.1
9fb86d7,2018-03-07 16:42:57,179,1,112.86
50343a5,2018-01-13 15:43:58,232,1,64.79
6c5ce6b,2018-06-19 00:26:23,76,1,120.68
68e9aca,2017-11-24 09:23:33,282,1,92.85
c5f0199,2018-03-16 11:31:18,170,1,73.25
e08869b,2017-10-12 23:11:44,325,1,86.25
23c033f,2018-08-06 22:25:10,27,1,189.34
f609af8,2018-06-16 18:31:23,78,1,35.45
c18a7f1,2017-04-29 20:09:24,491,1,208.7
16b2beb,2018-02-17 10:33:27,197,1,66.78
1d94328,2018-08-01 17:57:54,32,1,70.06
80c005e,2018-03-04 22:59:50,182,1,76.76
1b1819e,2018-02-21 13:18:37,193,1,695.99
f1097c9,2017-10-09 19:42:43,328,1,155.14
9fc8316,2018-01-26 13:32:22,219,1,1727.67
93027a6,2017-01-27 00:34:10,584,1,69.45
b1e2374,2017-09-18 01:02:11,350,1,299.75
6935b76,2017-04-03 23:09:50,517,1,41.86
c6bb2e1,2018-06-04 08:33:09,91,1,143.9
b8a1330,2017-09-14 18:32:52,353,1,31.75
161fd74,2017-02-17 17:37:52,562,1,95.24
61e65a8,2018-02-05 17:40:34,209,1,171.32
6ad4601,2017-01-25 15:47:27,585,1,218.0
740ece7,2017-04-27 14:17:37,493,1,44.42
18c7528,2018-06-15 21:45:12,79,1,413.53
caab2ad,2017-12-06 09:53:36,270,1,106.97
c112276,2017-01-14 15:42:20,596,1,45.78
34c13cd,2018-08-01 16:37:54,32,1,429.64
3b81f91,2018-05-20 10:33:47,105,1,117.96
8cd6f80,2018-07-01 21:12:33,63,3,403.84999999999997
7492a41,2017-05-21 21:10:35,469,1,44.09
0920c55,2018-03-14 11:22:37,172,1,76.34
b9ce93a,2017-10-31 21:47:13,306,1,117.97
eb679f5,2017-10-04 17:56:28,333,1,921.04
7db1dd5,2018-01-17 09:55:37,228,1,48.99
a7bebc5,2018-07-20 11:46:49,44,1,35.36
6667649,2017-12-14 09:06:34,263,1,164.06
6b4e8c5,2018-06-19 13:22:15,75,1,224.84
a79c62e,2018-04-02 13:01:06,153,1,95.4
196fbfa,2018-07-04 16:49:21,60,1,144.14
c6d04cc,2017-04-13 17:26:06,507,1,42.42
cd2624b,2018-07-24 11:32:11,40,1,209.2
df38102,2017-07-05 11:55:58,424,1,140.61
d89190f,2018-04-30 20:24:33,125,1,311.81
ee3944b,2017-05-03 14:31:43,487,1,110.98
f89f986,2018-05-25 22:10:13,100,1,20.04
9915eb9,2017-10-12 13:33:22,325,1,916.02
eb9414e,2017-03-13 11:36:11,538,1,43.95
646d643,2017-11-20 16:21:04,286,1,89.02
20d8a6a,2017-11-26 15:47:51,280,1,596.27
ee23e2b,2018-06-01 15:34:15,93,1,215.15
f4a0b07,2017-12-23 15:50:03,253,1,75.08
2fe074e,2017-12-01 07:15:07,276,2,1043.06
441e8f4,2017-12-03 20:22:53,273,1,48.71
350e817,2017-10-04 11:31:15,333,1,76.17
755751f,2018-08-21 20:36:22,12,1,193.82
930dfe4,2017-11-02 14:51:11,304,1,205.07
0c5e206,2017-06-23 11:23:50,436,1,105.28
a371542,2018-05-10 16:04:42,115,1,228.43
3256049,2017-02-13 09:35:10,566,1,36.52
663d5a1,2017-09-13 20:30:02,354,1,197.87
7c74eaf,2018-04-11 14:59:05,144,1,196.95
e9c9682,2017-03-19 23:15:51,532,1,213.56
3ae748b,2017-11-03 12:56:49,303,1,300.76
551bf3c,2017-11-27 19:41:55,279,1,36.35
7141f12,2018-07-18 16:16:28,46,1,502.12
c3d8a0b,2018-05-06 10:27:56,119,1,339.09
6424423,2017-11-11 12:10:02,295,1,36.69
3abdf4f,2017-02-20 21:31:59,559,1,192.14
63ac99a,2018-03-07 17:53:30,179,1,198.16
1738c95,2018-06-24 08:21:25,71,1,20.29
79e1248,2018-08-06 18:45:01,27,1,1480.73
a6ddea5,2017-08-04 10:46:33,394,1,210.56
8c1a9f0,2018-05-03 14:31:13,122,1,345.46
7aa123f,2017-12-02 07:55:59,275,1,32.94
c48f157,2018-01-01 23:15:14,244,1,42.09
5c258f7,2017-09-03 15:21:44,364,1,324.32
57fa50f,2018-02-03 00:18:09,212,1,42.69
990302c,2018-07-11 19:25:07,53,1,63.12
e81dd15,2017-02-07 12:01:07,572,1,34.86
7ac26ea,2017-03-23 12:21:17,528,1,135.41
0255fc1,2018-07-30 18:25:18,34,1,140.67
